# wl_(um)         transit_depth
0.54456          1.048664e-02
0.54511          1.048832e-02
0.54565          1.048996e-02
0.54620          1.049160e-02
0.54674          1.049317e-02
0.54729          1.049479e-02
0.54784          1.049681e-02
0.54839          1.049881e-02
0.54893          1.050078e-02
0.54948          1.050269e-02
0.55003          1.050455e-02
0.55058          1.050619e-02
0.55113          1.050766e-02
0.55169          1.050911e-02
0.55224          1.051051e-02
0.55279          1.051190e-02
0.55334          1.051337e-02
0.55390          1.051528e-02
0.55445          1.051718e-02
0.55501          1.051905e-02
0.55556          1.052086e-02
0.55612          1.052262e-02
0.55667          1.052438e-02
0.55723          1.052612e-02
0.55779          1.052782e-02
0.55835          1.052946e-02
0.55890          1.053108e-02
0.55946          1.053273e-02
0.56002          1.053488e-02
0.56058          1.053708e-02
0.56114          1.053920e-02
0.56171          1.054125e-02
0.56227          1.054324e-02
0.56283          1.054521e-02
0.56339          1.054721e-02
0.56396          1.054916e-02
0.56452          1.055104e-02
0.56509          1.055288e-02
0.56565          1.055467e-02
0.56622          1.055642e-02
0.56678          1.055813e-02
0.56735          1.055981e-02
0.56792          1.056144e-02
0.56849          1.056466e-02
0.56906          1.056679e-02
0.56963          1.056781e-02
0.57020          1.057082e-02
0.57077          1.057368e-02
0.57134          1.057644e-02
0.57191          1.057910e-02
0.57248          1.058217e-02
0.57305          1.058613e-02
0.57363          1.058986e-02
0.57420          1.059342e-02
0.57478          1.059679e-02
0.57535          1.059998e-02
0.57593          1.060306e-02
0.57650          1.060604e-02
0.57708          1.060890e-02
0.57766          1.061162e-02
0.57823          1.061452e-02
0.57881          1.061701e-02
0.57939          1.062361e-02
0.57997          1.063077e-02
0.58055          1.063761e-02
0.58113          1.064324e-02
0.58171          1.064851e-02
0.58230          1.065422e-02
0.58288          1.066383e-02
0.58346          1.067294e-02
0.58405          1.068066e-02
0.58463          1.068765e-02
0.58521          1.069395e-02
0.58580          1.070121e-02
0.58639          1.071412e-02
0.58697          1.073908e-02
0.58756          1.078265e-02
0.58815          1.083852e-02
0.58874          1.096200e-02
0.58933          1.105191e-02
0.58992          1.101945e-02
0.59051          1.084866e-02
0.59110          1.078533e-02
0.59169          1.074608e-02
0.59228          1.071689e-02
0.59287          1.070039e-02
0.59347          1.068519e-02
0.59406          1.067779e-02
0.59465          1.067009e-02
0.59525          1.066505e-02
0.59584          1.065649e-02
0.59644          1.065153e-02
0.59704          1.064293e-02
0.59763          1.063764e-02
0.59823          1.063015e-02
0.59883          1.062293e-02
0.59943          1.061500e-02
0.60003          1.061189e-02
0.60063          1.060585e-02
0.60123          1.060205e-02
0.60183          1.060142e-02
0.60243          1.059374e-02
0.60304          1.059200e-02
0.60364          1.058394e-02
0.60424          1.058415e-02
0.60485          1.057999e-02
0.60545          1.057288e-02
0.60606          1.056979e-02
0.60667          1.057133e-02
0.60727          1.056284e-02
0.60788          1.056233e-02
0.60849          1.055952e-02
0.60910          1.055468e-02
0.60971          1.054714e-02
0.61032          1.054949e-02
0.61093          1.054618e-02
0.61154          1.053737e-02
0.61215          1.053663e-02
0.61276          1.053770e-02
0.61338          1.053614e-02
0.61399          1.052929e-02
0.61460          1.052990e-02
0.61522          1.052811e-02
0.61583          1.052671e-02
0.61645          1.052244e-02
0.61707          1.051414e-02
0.61769          1.051279e-02
0.61830          1.051450e-02
0.61892          1.051289e-02
0.61954          1.050393e-02
0.62016          1.050147e-02
0.62078          1.050601e-02
0.62140          1.050467e-02
0.62202          1.050077e-02
0.62265          1.049567e-02
0.62327          1.049236e-02
0.62389          1.049424e-02
0.62452          1.049242e-02
0.62514          1.048934e-02
0.62577          1.048784e-02
0.62639          1.048399e-02
0.62702          1.047884e-02
0.62765          1.047763e-02
0.62828          1.047927e-02
0.62890          1.047790e-02
0.62953          1.047495e-02
0.63016          1.046988e-02
0.63079          1.046645e-02
0.63142          1.046675e-02
0.63206          1.046991e-02
0.63269          1.046884e-02
0.63332          1.046383e-02
0.63396          1.045850e-02
0.63459          1.045553e-02
0.63522          1.045379e-02
0.63586          1.045328e-02
0.63650          1.045292e-02
0.63713          1.045059e-02
0.63777          1.044873e-02
0.63841          1.044846e-02
0.63905          1.044794e-02
0.63969          1.044549e-02
0.64033          1.044178e-02
0.64097          1.043981e-02
0.64161          1.043871e-02
0.64225          1.043847e-02
0.64289          1.043673e-02
0.64354          1.043258e-02
0.64418          1.042996e-02
0.64483          1.042737e-02
0.64547          1.042706e-02
0.64612          1.042760e-02
0.64676          1.042973e-02
0.64741          1.042872e-02
0.64806          1.042615e-02
0.64871          1.042241e-02
0.64935          1.041892e-02
0.65000          1.041551e-02
0.65065          1.041346e-02
0.65131          1.041237e-02
0.65196          1.041375e-02
0.65261          1.041185e-02
0.65326          1.040978e-02
0.65392          1.040876e-02
0.65457          1.040912e-02
0.65523          1.040823e-02
0.65588          1.040785e-02
0.65654          1.040624e-02
0.65719          1.040408e-02
0.65785          1.040101e-02
0.65851          1.039893e-02
0.65917          1.039531e-02
0.65983          1.039436e-02
0.66049          1.039320e-02
0.66115          1.039277e-02
0.66181          1.039084e-02
0.66247          1.039002e-02
0.66314          1.038849e-02
0.66380          1.038702e-02
0.66446          1.038703e-02
0.66513          1.038647e-02
0.66579          1.038735e-02
0.66646          1.038682e-02
0.66713          1.038531e-02
0.66779          1.038318e-02
0.66846          1.038065e-02
0.66913          1.037836e-02
0.66980          1.037628e-02
0.67047          1.037269e-02
0.67114          1.037237e-02
0.67181          1.036943e-02
0.67248          1.036836e-02
0.67316          1.036781e-02
0.67383          1.036685e-02
0.67450          1.036822e-02
0.67518          1.036937e-02
0.67586          1.036900e-02
0.67653          1.036827e-02
0.67721          1.036864e-02
0.67789          1.036841e-02
0.67856          1.036690e-02
0.67924          1.036507e-02
0.67992          1.036457e-02
0.68060          1.036174e-02
0.68128          1.035962e-02
0.68197          1.035770e-02
0.68265          1.035804e-02
0.68333          1.035714e-02
0.68401          1.035776e-02
0.68470          1.035902e-02
0.68538          1.036062e-02
0.68607          1.036136e-02
0.68676          1.036221e-02
0.68744          1.036391e-02
0.68813          1.036442e-02
0.68882          1.036464e-02
0.68951          1.036744e-02
0.69020          1.036775e-02
0.69089          1.036919e-02
0.69158          1.037497e-02
0.69227          1.038090e-02
0.69296          1.037561e-02
0.69366          1.037463e-02
0.69435          1.037986e-02
0.69505          1.037264e-02
0.69574          1.037298e-02
0.69644          1.037347e-02
0.69713          1.037211e-02
0.69783          1.037271e-02
0.69853          1.037347e-02
0.69923          1.037297e-02
0.69993          1.037443e-02
